"GIS_Key","lat_mean","lon_mean"
"2488-1",40.8092296129032,-77.5044534193548
"2488-3",40.8333324482759,-77.4383324482759
"2491-1",41.465556,-76.158889
"2495-1",41.4725,-76.061389
"2514-1",41.506944,-75.985278
"2519-1",41.3567401020408,-76.1758335714286
"2519-2",41.3915316944444,-76.1306981944444
"2519-3",41.4392746707317,-76.0288787926829
"2519-4",41.4741665,-75.9933335
"2521-1",40.9325,-78.651111
"2522-1",40.9724442666667,-77.9087965333333
"2522-2",40.977778,-77.863889
"2522-4",40.94551104,-77.82773356
"2524-2",40.95652596,-77.08528872
"2526-1",40.936389,-77.302222
"2530-1",40.7838204242424,-77.7972972121212
"2530-2",40.8385422535211,-77.8176524309859
"2530-3",40.8826811232877,-77.7928868493151
"2530-4",40.898600625,-77.79499553125
"2530-6",40.9302725650224,-77.786764955157
"2532-1",40.870833,-78.118611
"2532-2",40.891389,-78.117778
"2532-3",40.9281272173913,-78.1199283478261
"2535-2",41.54,-75.556667
"2536-1",41.533611,-76.168889
"2538-2",41.034167,-75.546389
"2539-2",41.022778,-75.710833
"2543-2",41.049693,-75.715438368421
"2545-1",41.058333,-75.369167
"2546-2",41.060556,-75.381667
"2549-1",41.8425,-79.584167
"2550-2",41.851944,-79.0577785660377
"2551-1",41.843056,-78.552222
"2552-1",41.853056,-78.514167
"2554-1",41.857985,-78.640715
"2555-3",41.860972,-79.525833
"2558-1",41.8548117239819,-78.6783364705882
"2560-1",41.869722,-78.793611
"2560-2",41.8781900166667,-78.85549965
"2562-1",41.9170345,-79.7473548023256
"2563-1",41.9120430555556,-78.8547501111111
"2567-2",41.884722,-78.035278
"2568-1",41.907222,-78.630556
"2571-1",41.9514315384615,-78.0573933076923
"2571-2",41.932222,-78.096667
"2575-1",41.961944,-78.811389
"2575-2",41.9706988571429,-78.8549681428571
"2579-1",41.415833,-76.045278
"2580-1",41.418611,-76.0886397586207
"2581-1",41.420556,-76.215556
"2582-1",41.420278,-76.033056
"2585-1",41.426667,-76.064722
"2587-1",41.428056,-76.069167
"2589-1",41.4414958461538,-75.8784188461538
"2590-2",41.415,-76.003056
"2597-1",41.475556,-76.063056
"2597-2",41.457778,-76.028889
"2602-1",41.708333,-79.358333
"2604-2",41.710278,-78.411111
"2605-1",41.731389,-79.565
"2607-1",41.717778,-79.531667
"2608-1",41.7609035633803,-78.980974028169
"2608-2",41.73805525,-79.0343055
"2609-1",41.717778,-78.364167
"2610-1",41.745833,-79.5875
"2614-1",41.747417,-79.217222
"2615-1",41.7375,-79.088889
"2616-2",41.756667,-79.055
"2617-1",41.749444,-79.218889
"2619-1",41.746944,-78.116111
"2620-1",41.7304499295775,-79.080395028169
"2621-1",41.753333,-77.928333
"2623-1",41.7702132790698,-79.0458853023256
"2625-1",40.6530250810811,-77.7514410810811
"2625-2",40.6206055639098,-77.8055762556391
"2626-3",40.6164264324324,-77.5253902702703
"2627-1",40.681111,-77.278889
"2627-2",40.6399561826347,-77.2980912634731
"2628-3",40.623889,-77.662778
"2628-5",40.6538815357143,-77.5896098690476
"2628-6",40.622778,-77.558056
"2629-1",41.7125,-78.728056
"2629-3",41.7305275932203,-78.8453436779661
"2630-1",41.711944,-79.167778
"2630-2",41.730833,-79.159722
"2631-2",41.7475,-78.291667
"2632-1",41.7655523555556,-77.9806421555556
"2634-3",41.752222,-78.685278
"2634-4",41.768611,-78.752778
"2634-5",41.7761903571429,-78.799772125
"2635-1",41.779444,-78.0575
"2636-2",41.809444,-78.143889
"2637-1",41.785,-79.28
"264-1",40.13315340399,-77.4068872319202
"264-2",40.1455096736842,-77.40657325
"264-5",40.188615,-77.39197
"2641-2",41.8075,-78.125
"2642-1",41.803611,-79.278056
"2644-1",41.7879459016393,-78.3199456393443
"2645-2",41.710833,-78.571389
"2645-3",41.788333,-78.484167
"2647-1",41.822917,-78.81375
"2647-2",41.813333,-78.868611
"2648-2",41.809167,-79.588056
"265-2",40.2079411176471,-78.3993461647059
"2651-2",41.8476016341463,-79.4534086829268
"2652-1",41.806111,-79.011389
"2652-2",41.8191561851852,-79.0910181851852
"2656-1",41.84,-77.916111
"2657-1",41.836944,-78.770833
"2659-3",41.0583066415094,-75.3545652264151
"2659-4",41.037595519084,-75.3082889007634
"2659-5",40.9895832627119,-75.2426722881356
"2659-6",40.9849241603774,-75.2061689433962
"266-1",40.301944,-77.3825
"2660-3",40.947222,-75.29
"2661-2",40.9284794666667,-75.6297308074074
"2662-1",41.183333,-75.2525
"2664-1",41.012222,-75.633333
"2664-2",41.009722,-75.633889
"2665-4",41.0327982962963,-75.7079683888889
"2665-5",41.016111,-75.717778
"2669-1",41.595833,-79.170278
"2672-5",40.6252125661765,-78.1766155294118
"2672-6",40.5969772340426,-78.1208455319149
"2672-7",40.587222,-78.091111
"2674-2",41.609722,-78.651667
"2675-2",41.6197855526316,-79.8321558333333
"2676-1",41.606912,-79.166912
"2678-1",41.609167,-78.935833
"2683-1",41.634444,-79.581111
"2684-1",41.629167,-79.035
"2685-1",41.6422421071429,-78.5946427142857
"2686-3",41.6823840416667,-79.5788833333333
"2686-4",41.652778,-79.609444
"2689-1",40.675556,-77.904722
"2695-2",41.643333,-78.358333
"2699-2",40.5605555,-78.3470835
"2700-2",41.6975,-78.951389
"2700-3",41.6694255333333,-78.9896666
"2703-1",41.715556,-79.211944
"2705-2",41.626980826087,-78.9896496956522
"2706-2",41.702778,-79.665278
"2707-2",41.68868,-78.414354
"2708-3",41.6945685267857,-79.5717065714286
"2711-1",41.7156334820144,-78.9198242589928
"2711-2",41.7191907086614,-78.7027100708661
"2712-2",40.589167,-75.52286446875
"2714-2",40.5016405,-75.6406466111111
"2714-3",40.526389,-75.6136205517241
"2714-4",40.540555538835,-75.5698566601942
"2714-5",40.5351808412698,-75.533020047619
"2714-6",40.5417062857143,-75.5115475714286
"2714-7",40.5552092808989,-75.5034049662921
"2714-8",40.5662962222222,-75.5070345
"2714-9",40.5836114242424,-75.4835638484848
"2715-2",40.5914448,-75.4634446
"2717-2",40.732778,-75.398611
"2717-3",40.715278,-75.395833
"2717-5",40.681667,-75.341667
"2717-6",40.6726174482759,-75.3597072758621
"2717-7",40.653889,-75.3799654524715
"2717-8",40.638832664,-75.381613592
"2717-9",40.6191948441558,-75.381144487013
"2718-1",40.5324274347826,-75.4496983478261
"2718-4",40.569167,-75.344167
"2718-5",40.5977743284314,-75.3458124215686
"2721-2",40.6149727183099,-75.3346128309859
"2723-3",40.648274,-75.467743
"2724-2",40.510556,-78.358333
"2725-2",40.6556284210526,-75.6365495263158
"2726-2",40.6710814642857,-75.5257243214286
"2728-2",40.763807,-75.466733
"273-1",40.223056,-76.904444
"2730-4",41.1868888,-75.5758888
"2732-5",40.722064,-75.246411
"2734-2",40.7432033655914,-75.6428784731183
"2735-1",40.8639085377358,-75.2067982169811
"2735-3",40.8071469090909,-75.1959597272727
"2735-4",40.7868350638298,-75.1862939787234
"2736-1",40.849426925,-75.537282875
"2737-1",40.8548917169811,-75.6507847169811
"2739-3",40.853889,-75.439444
"2742-1",40.8675,-75.8661115
"2745-2",40.8725,-75.625556
"2746-1",40.895,-75.786667
"2750-2",40.9218811262136,-75.4955972864078
"2751-2",40.968611,-75.513056
"2751-3",40.9375556,-75.5224027
"2751-4",40.911389,-75.51
"2752-2",40.911667,-75.689444
"2754-1",40.915556,-75.714444
"2758-2",40.898056,-75.890833
"2759-1",40.945556,-75.564722
"276-2",40.1192592727273,-77.2508416060606
"276-3",40.149167,-77.111111
"2762-2",40.9662454193548,-75.6460397849462
"2762-3",40.954722,-75.70262232
"2763-1",40.95,-75.295833
"2763-2",40.9509522380952,-75.3220371904762
"2766-2",40.973611,-75.704167
"2767-1",41.454167,-77.633889
"2767-2",41.4222638011696,-77.6737866052632
"2767-3",41.353889,-77.704167
"2770-2",41.405,-76.895833
"2771-2",41.354579,-77.3464255
"2777-1",41.3698379444444,-78.3732172222222
"2795-2",41.3566882631579,-76.8409140263158
"2797-1",40.5216643185841,-76.1266407079646
"2798-1",40.430556,-75.626944
"28-1",39.978611,-78.441944
"280-2",40.1851054534271,-77.1867901177504
"280-3",40.2088485625,-77.175769625
"280-4",40.2223091037736,-77.1515287688679
"2801-1",40.4639988125,-75.5247511666667
"2802-1",40.435833,-75.876111
"2804-2",41.378056,-78.059441
"2806-1",40.461389,-75.8925
"2812-1",41.489167,-77.680278
"2812-2",41.4553209220779,-77.6965006883117
"2812-3",41.4042136233766,-77.7069697532468
"2816-2",40.500833,-75.863611
"2818-1",40.498889,-75.447222
"2819-1",40.533575,-75.600234
"2822-2",41.531111,-79.797778
"2825-2",41.514722,-79.324444
"2827-2",41.5090538148148,-79.3976336296296
"2827-3",41.508611,-79.449167
"283-2",40.011680047619,-75.6580687142857
"2830-1",41.5155647931035,-79.2171358965517
"2833-2",41.524444,-79.588889
"2835-1",41.5552483157895,-78.9235816842105
"2835-2",41.5440335942029,-78.9634097246377
"2837-1",41.522778,-79.46
"2839-1",41.53,-78.795
"284-2",40.251667,-77.0075
"2840-2",41.575526,-79.7979125909091
"2842-2",41.524167,-78.591111
"2846-1",41.547222,-79.373889
"2846-2",41.556111,-79.408333
"2847-1",41.557529106383,-78.5215523262411
"2849-1",41.637222,-78.758333
"2849-2",41.588888826087,-78.7142152608696
"285-1",40.441667,-77.657222
"2851-1",41.6718161153846,-79.3088463076923
"2851-3",41.615,-79.37
"2852-1",41.579167,-79.389167
"2855-2",41.595234027027,-78.5061475675676
"2856-1",41.611111,-79.268889
"2856-2",41.587222,-79.3525
"2858-1",41.601389,-78.904722
"2859-2",41.6004235789474,-78.8658773684211
"2860-1",41.613056,-78.760278
"2860-2",41.603056,-78.736111
"2862-1",41.3574527317073,-77.6242883170732
"2865-1",41.5648388947368,-78.4201025263158
"2865-2",41.553333,-78.359444
"2865-3",41.518889,-78.256389
"2866-2",41.3064072666667,-78.2697874333333
"2866-3",41.32032212,-78.21173312
"2869-2",41.3225,-78.478333
"287-1",41.2577623835616,-76.4092428356164
"287-2",41.2053789090909,-76.3892352597403
