"child_b","parent_b","dist_b","NodeLat","NodeLon"
"N_929591",9499,0.268492424049,40.861604719,-78.082737842
"N_929616",9489,0.409705627485,40.912411246,-78.43736864
"N_929617",9520,0.683345237792,40.908463441,-78.432513273
"N_929618",9416,2.60867532368,40.920880171,-78.396518457
"N_929636",9518,1.45003571337,40.917520214,-78.501477622
"N_929637",9519,0.929558441227,40.917324003,-78.50006549
"N_929649",9519,0.144852813742,40.917324003,-78.50006549
"N_929650",9471,2.7209545443,40.923739622,-78.483485536
"N_929651",9513,0.709705627485,40.909349629,-78.438866294
"N_929664",9537,0.921837661841,40.919640759,-78.520673538
"N_929665",9461,1.51926406871,40.881132647,-78.168356468
"N_929666",9488,1.41683766184,40.868299896,-78.118288919
"N_929679",9505,0.477426406871,40.838142747,-77.920725606
"N_929695",9550,0.437132034356,40.83187712,-77.882891445
"N_929702",9608,1.09926406871,40.807923276,-77.741896685
"N_929703",9608,0.817279220614,40.807923276,-77.741896685
"N_929711",9518,0.434558441227,40.917520214,-78.501477622
"N_929719",9541,0.0636396103068,40.929713535,-78.603276189
"N_929720",9513,0.587132034356,40.909349629,-78.438866294
"N_929731",9443,3.45036579926,40.834813967,-77.818200084
"N_929742",9442,3.27293939239,40.902462463,-78.290453496
"N_929743",9488,1.01183766184,40.868299896,-78.118288919
"N_929744",9486,3.17584307141,40.840155589,-77.917649435
"N_929745",9531,1.74426406871,40.820654844,-77.835386463
"N_929746",9535,1.41382250994,40.817998869,-77.818907281
"N_929764",9538,1.68426406871,40.914752092,-78.505090744
"N_929765",9528,0.204852813742,40.916019923,-78.504409043
"N_929766",9467,1.78455844123,40.88480893,-78.203955124
"N_929780",9498,0.966837661841,40.872077017,-78.156413493
"N_929786",9583,1.96367532368,40.925361773,-78.587554617
"N_929787",9583,2.04169047558,40.925361773,-78.587554617
"N_929788",9539,1.68169047558,40.872864695,-78.206256454
"N_929800",9505,1.53639610307,40.838142747,-77.920725606
"N_929809",9528,0.59441125497,40.916019923,-78.504409043
"N_929816",9492,3.13580735804,40.882833985,-78.228566717
"N_929833",9553,1.17941125497,40.932348717,-78.646089014
"N_929834",9546,2.71624891681,40.877312046,-78.249325312
"N_929837",9553,0.309852813742,40.932348717,-78.646089014
"N_929838",9551,1.9409545443,40.822337921,-77.867824171
"N_929839",9475,2.22852813742,40.834269223,-77.855970902
"N_929848",9520,1.81580735804,40.908463441,-78.432513273
"N_929903",9601,0.264852813742,40.930241112,-78.646610802
"N_929909",10957,1.13363390001,40.930241112,-78.646610802
"N_929914",9564,0.888198051534,40.942087802,-78.736821698
"N_929928",9557,2.92492424049,40.837619109,-77.995009037
"N_929929",9508,2.12610173055,40.8457091,-77.97722431
"N_929930",9544,0.584558441227,40.833136162,-77.933339623
"N_929943",9539,1.00455844123,40.872864695,-78.206256454
"N_929944",9621,3.43749783362,40.798579313,-77.726433046
"N_929952",9593,1.08683766184,40.93861266,-78.719416225
"N_929960",9531,1.0469848481,40.820654844,-77.835386463
"N_929969",9580,0.977132034356,40.939829139,-78.73226477
"N_929978",9580,0.614558441227,40.939829139,-78.73226477
"N_929979",9566,0.417426406871,40.866647374,-78.208564746
"N_929980",9559,0.192426406871,40.867550628,-78.207239843
"N_929985",9564,0.737132034356,40.942087802,-78.736821698
"N_929986",9552,3.0689696962,40.901980645,-78.429024346
"N_929987",9587,0.472279220614,40.82268804,-77.902431456
"N_929993",9533,1.20941125497,40.860593167,-78.115871313
"N_930000",9546,2.97852813742,40.877312046,-78.249325312
"N_930001",11135,1.81536450001,40.860593167,-78.115871313
"N_930020",9756,0.773345237792,40.882886592,-78.331556816
"N_930021",9756,2.41110173055,40.882886592,-78.331556816
"N_930022",9576,0.821984848098,40.854902298,-78.133392904
"N_930023",9570,0.954852813742,40.854076434,-78.123742334
"N_930034",9537,2.32323376491,40.919640759,-78.520673538
"N_930035",9552,1.43183766184,40.901980645,-78.429024346
"N_930036",9558,0.979264068712,40.829281537,-77.936889384
"N_930046",9581,0.594852813742,40.93740367,-78.728479637
"N_930047",9593,1.07183766184,40.93861266,-78.719416225
"N_930048",9541,1.77639610307,40.929713535,-78.603276189
"N_930049",9413,10.7989653634,40.94324846,-78.555342612
"N_930058",9582,0.192426406871,40.920932383,-78.608742373
"N_930070",9586,0.809558441227,40.922062566,-78.620879528
"N_930071",9584,0.877279220614,40.920961456,-78.610926479
"N_930072",9588,0.427279220614,40.820390382,-77.899737445
"N_930073",9589,2.42610173055,40.817354974,-77.876782196
"N_930074",9590,0.15,40.816888834,-77.87544179
"N_930075",9551,1.08941125497,40.822337921,-77.867824171
"N_930089",9626,0.0874264068712,40.93438476,-78.712423787
"N_930101",9584,0.117426406871,40.920961456,-78.610926479
"N_930108",9626,1.0169848481,40.93438476,-78.712423787
"N_930126",9578,4.42021861301,40.897435407,-78.437468015
"N_930127",9572,0.352279220614,40.850655388,-78.101605853
"N_930128",9572,0.468198051534,40.850655388,-78.101605853
"N_930135",9621,3.76962986798,40.798579313,-77.726433046
"N_930140",9570,0.405,40.854076434,-78.123742334
"N_930141",9544,4.06661471607,40.833136162,-77.933339623
"N_930149",9646,1.44169047558,40.924043979,-78.651066533
"N_930150",9646,0.926984848098,40.924043979,-78.651066533
"N_930151",9582,1.23169047558,40.920932383,-78.608742373
"N_930152",9571,4.20808657865,40.871386159,-78.247903767
"N_930192",9374,7.05650324319,40.923939029,-78.359940767
"N_930198",11213,1.9875864,40.867550628,-78.207239843
"N_930199",9605,0.429852813742,40.85636577,-78.178306577
"N_930203",9613,1.36305086528,40.796338298,-77.761711835
"N_930204",11238,1.4961,40.796338298,-77.761711835
"N_930219",9630,1.03926406871,40.839857928,-78.066017545
"N_930220",9630,1.70352813742,40.839857928,-78.066017545
"N_930229",9612,3.35264501988,40.831239263,-78.007602961
"N_930230",9557,1.39580735804,40.837619109,-77.995009037
"N_930231",9641,0.102426406871,40.795812381,-77.76184859
"N_930242",9704,1.64654328933,40.924860043,-78.676793871
"N_930243",9704,4.46220346111,40.924860043,-78.676793871
"N_930264",9538,2.32882250994,40.914752092,-78.505090744
"N_930265",9616,1.25441125497,40.901577633,-78.514221269
"N_930274",9578,2.26367532368,40.897435407,-78.437468015
"N_930275",9562,1.22183766184,40.813876213,-77.835681322
"N_930291",9605,0.494558441227,40.85636577,-78.178306577
"N_930292",9641,3.92433549546,40.795812381,-77.76184859
"N_930309",9620,0.204852813742,40.853021143,-78.17586996
"N_930310",9622,0.443345237792,40.852195045,-78.173888861
"N_930324",9587,1.66731493399,40.82268804,-77.902431456
"N_930335",9581,1.82139610307,40.93740367,-78.728479637
"N_930346",9673,1.41426406871,40.925247327,-78.707373578
"N_930356",9673,0.309852813742,40.925247327,-78.707373578
"N_930357",9566,1.81154328933,40.866647374,-78.208564746
"N_930379",9682,1.40654328933,40.785914019,-77.727541498
"N_930384",9657,0.854558441227,40.833992265,-78.063135513
"N_930385",9657,0.986543289326,40.833992265,-78.063135513
"N_930386",9645,0.268492424049,40.79500231,-77.792003839
"N_930390",9644,0.178492424049,40.914603888,-78.639891524
"N_930391",9589,2.05110173055,40.817354974,-77.876782196
"N_930392",9619,0.936837661841,40.805561922,-77.838564964
"N_930421",9571,1.67183766184,40.871386159,-78.247903767
"N_930422",9682,0.304705627485,40.785914019,-77.727541498
"N_930434",9628,0.529705627485,40.855008137,-78.205309825
"N_930442",9622,1.3139696962,40.852195045,-78.173888861
"N_930443",9639,0.045,40.846185097,-78.162271008
"N_930444",9645,3.30338095117,40.79500231,-77.792003839
"N_930454",9535,4.17249783362,40.817998869,-77.818907281
"N_930455",9642,2.36246212025,40.794683234,-77.804867284
"N_930462",9586,5.04676190233,40.922062566,-78.620879528
"N_930463",9650,0.674558441227,40.793502547,-77.798600813
"N_930467",9647,1.54669047558,40.913157357,-78.64718765
"N_930468",9644,0.734558441227,40.914603888,-78.639891524
"N_930469",9649,1.06713203436,40.886549079,-78.455166223
"N_930470",9618,1.9139696962,40.892464014,-78.440904477
"N_930471",9642,0.704558441227,40.794683234,-77.804867284
"N_930480",9652,1.67246212025,40.824858201,-78.020194621
"N_930481",9612,1.50124891681,40.831239263,-78.007602961
"N_930522",9647,0.222426406871,40.913157357,-78.64718765
"N_930544",9653,1.4376093065,40.911576674,-78.647578864
"N_930550",9700,1.62169047558,40.926302672,-78.760791667
"N_930551",9700,0.694705627485,40.926302672,-78.760791667
"N_930552",9757,1.06669047558,40.827937221,-78.057016136
"N_930553",9757,1.69926406871,40.827937221,-78.057016136
"N_930554",9558,2.77279220614,40.829281537,-77.936889384
"N_930569",9675,1.19441125497,40.880010635,-78.429782633
"N_930570",9620,1.20169047558,40.853021143,-78.17586996
"N_930571",9619,1.20683766184,40.805561922,-77.838564964
"N_930580",9717,0.268492424049,40.871114019,-78.368116734
"N_930581",9763,0.810624458405,40.831367756,-78.08681084
"N_930603",9717,0.544705627485,40.871114019,-78.368116734
"N_930613",9653,0.337279220614,40.911576674,-78.647578864
"N_930614",9616,3.49793939239,40.901577633,-78.514221269
"N_930615",9618,2.82764501988,40.892464014,-78.440904477
"N_930616",9636,2.92323376491,40.859043266,-78.247376717
"N_930617",9576,2.56536579926,40.854902298,-78.133392904
"N_930618",9672,0.929558441227,40.821879957,-78.026069954
"N_930619",9652,0.716984848098,40.824858201,-78.020194621
"N_930627",9701,1.59426406871,40.916227749,-78.701200171
"N_930628",9666,0.279852813742,40.909011068,-78.64675328
"N_930638",9668,0.709705627485,40.879646686,-78.434985698
"N_930639",9697,2.51867532368,40.874783735,-78.404073376
"N_930640",9763,0.399852813742,40.831367756,-78.08681084
"N_930644",9701,1.72003571337,40.916227749,-78.701200171
"N_930645",9683,1.18305086528,40.900668695,-78.592226061
"N_930646",9722,0.786837661841,40.900131852,-78.588342949
"N_930647",9692,0.46091883092,40.895783961,-78.556927207
"N_930648",9718,2.46639610307,40.781358037,-77.750636396
"N_930655",9722,0.414852813742,40.900131852,-78.588342949
"N_930656",9659,3.41352813742,40.813113307,-77.953468118
"N_930657",9590,2.36911688245,40.816888834,-77.87544179
"N_930669",9795,1.16441125497,40.914494804,-78.696515998
"N_930670",9710,0.46091883092,40.897163359,-78.570824128
"N_930671",9628,1.17426406871,40.855008137,-78.205309825
"N_930672",9638,2.18352813742,40.852304011,-78.201614087
"N_930673",9639,0.937903679019,40.846185097,-78.162271008
"N_930674",9685,1.4219848481,40.800147664,-77.882323316
"N_930679",9693,1.0469848481,40.893819995,-78.548652864
"N_930680",9667,0.896984848098,40.894225986,-78.539788732
"N_930681",9649,0.829705627485,40.886549079,-78.455166223
"N_930682",9562,3.80521861301,40.813876213,-77.835681322
"N_930694",9712,0.34091883092,40.87440403,-78.411106018
"N_930695",9712,0.656984848098,40.87440403,-78.411106018
"N_930696",9688,0.424705627485,40.846721209,-78.210333446
"N_930709",9778,2.15352813742,40.922350055,-78.761763517
"N_930710",9778,0.474852813742,40.922350055,-78.761763517
"N_930711",9795,0.656984848098,40.914494804,-78.696515998
"N_930712",9695,0.352279220614,40.792302017,-77.831774541
"N_930718",9706,1.03713203436,40.869667047,-78.38308547
"N_930722",9720,2.8409545443,40.90914783,-78.667531572
"N_930723",9694,0.189852813742,40.881461407,-78.459725267
"N_930724",9697,2.3009545443,40.874783735,-78.404073376
"N_930739",9638,1.26941125497,40.852304011,-78.201614087
"N_930740",9659,0.682279220614,40.813113307,-77.953468118
"N_930741",9685,0.307279220614,40.800147664,-77.882323316
"N_930750",9715,0.69941125497,40.893962025,-78.565412956
"N_930761",9675,1.75669047558,40.880010635,-78.429782633
"N_930762",9711,0.722132034356,40.873135414,-78.417631126
"N_930763",9718,0.454705627485,40.781358037,-77.750636396
"N_930771",9636,2.36610173055,40.859043266,-78.247376717
"N_930781",9692,1.13183766184,40.895783961,-78.556927207
"N_930782",9693,0.544705627485,40.893819995,-78.548652864
"N_930783",9706,1.69367532368,40.869667047,-78.38308547
"N_930784",9727,1.84154328933,40.780384832,-77.770240676
"N_930795",9710,0.771837661841,40.897163359,-78.570824128
"N_930821",9721,1.59338095117,40.904451382,-78.655183808
"N_930822",9666,1.05426406871,40.909011068,-78.64675328
"N_930823",9719,1.4039696962,40.894520658,-78.577322722
"N_930824",10960,0.794599999994,40.793502547,-77.798600813
"N_930846",9745,3.66702056147,40.852132822,-78.2834465
"N_930847",11041,0.547300000006,40.846721209,-78.210333446
"N_930848",9805,1.97867532368,40.82818749,-78.114276048
"N_930849",9753,0.921837661841,40.780032451,-77.779094713
"N_930857",9715,0.448492424049,40.893962025,-78.565412956
"N_930858",9723,0.114852813742,40.783313462,-77.797958445
"N_930869",9750,1.24305086528,40.879977042,-78.488209669
"N_930879",9817,0.587132034356,40.914463673,-78.739971694
"N_930885",9817,0.911984848098,40.914463673,-78.739971694
"N_930893",9588,3.6455486989,40.820390382,-77.899737445
"N_930897",9709,0.65441125497,40.797831204,-77.883286718
"N_930898",9729,0.322279220614,40.782626519,-77.798866875
"N_930909",9714,0.752132034356,40.851243125,-78.263590621
"N_930918",9738,0.962756492761,40.895809238,-78.614242782
"N_930919",9683,2.3309545443,40.900668695,-78.592226061
"N_930920",9805,0.697279220614,40.82818749,-78.114276048
"N_930921",9709,1.08941125497,40.797831204,-77.883286718
"N_930922",9753,0.407132034356,40.780032451,-77.779094713
"N_930932",9694,2.12610173055,40.881461407,-78.459725267
"N_930940",9759,0.851984848098,40.856772668,-78.337770222
"N_930949",9759,0.952279220614,40.856772668,-78.337770222
"N_930950",9736,1.6739696962,40.847741886,-78.267761821
"N_930955",9747,0.617132034356,40.896606814,-78.62791832
"N_930956",9738,1.42669047558,40.895809238,-78.614242782
"N_930957",9749,3.21080735804,40.879881816,-78.50320212
"N_930958",9750,1.84154328933,40.879977042,-78.488209669
"N_930975",9742,1.77426406871,40.876267611,-78.475262843
"N_930976",9752,0.461984848098,40.792879207,-77.896248202
"N_930977",9740,0.487279220614,40.793848639,-77.891617006
"N_930993",9723,2.53882250994,40.783313462,-77.797958445
"N_930998",9714,1.94139610307,40.851243125,-78.263590621
"N_931005",9745,0.981837661841,40.852132822,-78.2834465
"N_931015",9760,6.30587878479,40.848341737,-78.297181717
"N_931016",9758,2.82249783362,40.811561926,-78.037840514
"N_931017",9672,1.90882250994,40.821879957,-78.026069954
"N_931035",9769,0.842132034356,40.852771725,-78.33257161
"N_931036",9755,0.752132034356,40.847975025,-78.290703001
"N_931058",9727,1.54669047558,40.780384832,-77.770240676
"N_931088",9739,2.59624891681,40.826620879,-78.120516942
"N_931089",9804,2.47066017178,40.814786491,-78.075712571
"N_931090",9804,0.689558441227,40.814786491,-78.075712571
"N_931100",9761,0.195,40.770642117,-77.763280469
"N_931107",9790,1.05683766184,40.848634627,-78.318646567
